prefix,arpnum,t_start,t_end,label,flares,FLARE_INDEX,AREA,USFLUX,MEANGBZ,R_VALUE
HARP,4166,2014-05-25 00:00:00,2014-05-26 00:00:00,False,,0.0,1282.512329,2.809521e+21,15.424,3.45
HARP,4166,2014-05-25 01:36:00,2014-05-26 01:36:00,False,,0.0,1533.601562,3.174021e+21,15.506,3.384
HARP,4166,2014-05-25 03:12:00,2014-05-26 03:12:00,False,,0.0,1883.786133,3.542103e+21,15.02,3.441
HARP,4166,2014-05-25 04:48:00,2014-05-26 04:48:00,False,,0.0,1962.486694,3.647524e+21,15.344,3.411
HARP,4166,2014-05-25 06:24:00,2014-05-26 06:24:00,False,,0.0,2001.730469,3.720763e+21,15.452,3.377
HARP,4166,2014-05-25 08:00:00,2014-05-26 08:00:00,False,,0.0,1998.741821,3.721595e+21,15.78,3.402
HARP,4166,2014-05-25 09:36:00,2014-05-26 09:36:00,False,,0.0,1998.241211,3.749975e+21,16.156,3.358
HARP,4166,2014-05-25 11:12:00,2014-05-26 11:12:00,False,,0.0,2022.273315,3.786199e+21,16.673,3.288
HARP,4166,2014-05-25 12:48:00,2014-05-26 12:48:00,False,,0.0,2148.976074,4.006081e+21,16.95,3.379
HARP,4166,2014-05-25 14:24:00,2014-05-26 14:24:00,False,,0.0,2190.381348,4.054113e+21,16.969,3.203
HARP,4166,2014-05-25 16:00:00,2014-05-26 16:00:00,False,,0.0,2206.5625,4.05292e+21,17.2,3.204
HARP,4166,2014-05-25 17:36:00,2014-05-26 17:36:00,False,,0.0,2293.473633,4.174144e+21,17.467,3.251
HARP,4166,2014-05-25 19:12:00,2014-05-26 19:12:00,False,,0.0,2334.70874,4.259141e+21,17.466,3.346
HARP,4166,2014-05-25 20:48:00,2014-05-26 20:48:00,False,,0.0,2353.532471,4.203271e+21,17.483,0.0
HARP,4166,2014-05-25 22:24:00,2014-05-26 22:24:00,False,,0.0,2363.401611,4.176712e+21,17.596,2.78
HARP,4166,2014-05-26 00:00:00,2014-05-27 00:00:00,False,,0.0,2353.87793,4.170136e+21,17.778,2.953
HARP,4166,2014-05-26 01:36:00,2014-05-27 01:36:00,False,,0.0,2356.914307,4.151492e+21,17.895,0.0
HARP,4166,2014-05-26 03:12:00,2014-05-27 03:12:00,False,,0.0,2346.771484,4.105856e+21,17.858,0.0
HARP,4166,2014-05-26 04:48:00,2014-05-27 04:48:00,False,,0.0,2358.31665,4.1662e+21,18.302,3.01
HARP,4166,2014-05-26 06:24:00,2014-05-27 06:24:00,False,,0.0,2372.193359,4.170698e+21,18.448,2.175
HARP,4166,2014-05-26 08:00:00,2014-05-27 08:00:00,False,,0.0,2362.973633,4.194701e+21,18.478,0.0
HARP,4166,2014-05-26 09:36:00,2014-05-27 09:36:00,False,,0.0,2366.130127,4.18603e+21,18.222,1.905
HARP,4166,2014-05-26 11:12:00,2014-05-27 11:12:00,False,,0.0,2377.778809,4.200914e+21,18.273,0.0
HARP,4166,2014-05-26 12:48:00,2014-05-27 12:48:00,False,,0.0,2396.968262,4.245134e+21,18.439,2.265
HARP,4166,2014-05-26 14:24:00,2014-05-27 14:24:00,False,,0.0,2364.102539,4.220976e+21,18.614,2.497
HARP,4166,2014-05-26 16:00:00,2014-05-27 16:00:00,False,,0.0,2334.188477,4.248679e+21,18.815,1.772
HARP,4166,2014-05-26 17:36:00,2014-05-27 17:36:00,False,,0.0,2339.258789,4.295202e+21,19.16,2.102
HARP,4166,2014-05-26 19:12:00,2014-05-27 19:12:00,False,,0.0,2339.258789,4.295202e+21,19.16,2.102
HARP,4166,2014-05-26 20:48:00,2014-05-27 20:48:00,False,,0.0,2376.870605,4.345039e+21,19.288,0.0
HARP,4166,2014-05-26 22:24:00,2014-05-27 22:24:00,False,,0.0,2390.061035,4.356944e+21,19.239,2.066
HARP,4166,2014-05-27 00:00:00,2014-05-28 00:00:00,False,,0.0,2390.963623,4.410727e+21,19.62,0.0
HARP,4166,2014-05-27 01:36:00,2014-05-28 01:36:00,False,,0.0,2393.802734,4.412711e+21,19.651,0.0
HARP,4166,2014-05-27 03:12:00,2014-05-28 03:12:00,False,,0.0,2385.828857,4.400772e+21,20.048,0.0
HARP,4166,2014-05-27 04:48:00,2014-05-28 04:48:00,False,,0.0,2396.123047,4.412334e+21,20.148,0.0
HARP,4166,2014-05-27 06:24:00,2014-05-28 06:24:00,False,,0.0,2386.413574,4.359341e+21,19.734,1.492
HARP,4166,2014-05-27 08:00:00,2014-05-28 08:00:00,False,,0.0,2370.600342,4.328188e+21,20.015,2.441
HARP,4166,2014-05-27 09:36:00,2014-05-28 09:36:00,False,,0.0,2340.623779,4.305149e+21,20.639,0.0
HARP,4166,2014-05-27 11:12:00,2014-05-28 11:12:00,False,,0.0,2331.502197,4.306905e+21,20.682,0.0
HARP,4166,2014-05-27 12:48:00,2014-05-28 12:48:00,False,,0.0,2336.760254,4.329073e+21,21.3,2.887
HARP,4166,2014-05-27 14:24:00,2014-05-28 14:24:00,False,,0.0,2338.371338,4.303307e+21,21.114,2.956
HARP,4166,2014-05-27 16:00:00,2014-05-28 16:00:00,False,,0.0,2334.816162,4.307136e+21,21.359,2.51
HARP,4166,2014-05-27 17:36:00,2014-05-28 17:36:00,False,,0.0,2342.139893,4.350109e+21,21.86,3.206
HARP,4166,2014-05-27 20:48:00,2014-05-28 20:48:00,False,,0.0,2431.5896,4.491896e+21,21.762,2.794
HARP,4166,2014-05-27 22:24:00,2014-05-28 22:24:00,False,,0.0,2448.473633,4.446904e+21,21.402,1.699
HARP,4166,2014-05-28 00:00:00,2014-05-29 00:00:00,False,,0.0,2441.779297,4.431893e+21,21.272,2.803
HARP,4166,2014-05-28 01:36:00,2014-05-29 01:36:00,False,,0.0,2458.517822,4.428418e+21,21.112,2.606
HARP,4166,2014-05-28 03:12:00,2014-05-29 03:12:00,False,,0.0,2450.849609,4.390178e+21,21.039,0.0
HARP,4166,2014-05-28 04:48:00,2014-05-29 04:48:00,False,,0.0,2429.86377,4.400361e+21,21.093,0.0
HARP,4166,2014-05-28 06:24:00,2014-05-29 06:24:00,False,,0.0,2398.775391,4.396699e+21,21.368,2.738
HARP,4166,2014-05-28 08:00:00,2014-05-29 08:00:00,False,,0.0,2373.887207,4.422518e+21,21.878,2.902
HARP,4166,2014-05-28 09:36:00,2014-05-29 09:36:00,False,,0.0,2364.105957,4.420488e+21,22.017,0.0
HARP,4166,2014-05-28 11:12:00,2014-05-29 11:12:00,False,,0.0,2362.279297,4.434492e+21,21.928,0.0
HARP,4166,2014-05-28 12:48:00,2014-05-29 12:48:00,False,,0.0,2351.828125,4.430863e+21,21.871,0.0
HARP,4166,2014-05-28 14:24:00,2014-05-29 14:24:00,False,,0.0,2355.752197,4.44383e+21,21.949,2.172
HARP,4166,2014-05-28 16:00:00,2014-05-29 16:00:00,False,,0.0,2351.60791,4.458212e+21,21.982,0.0
HARP,4166,2014-05-28 17:36:00,2014-05-29 17:36:00,False,,0.0,2345.679199,4.472008e+21,22.207,0.0
HARP,4166,2014-05-28 20:48:00,2014-05-29 20:48:00,False,B4.4,0.0,2354.916748,4.45692e+21,22.016,0.0
HARP,4166,2014-05-28 22:24:00,2014-05-29 22:24:00,False,B4.4,0.0,2355.516357,4.451982e+21,22.008,0.0
HARP,4166,2014-05-29 00:00:00,2014-05-30 00:00:00,False,B4.4,0.0,2347.956543,4.445684e+21,22.358,1.908
HARP,4166,2014-05-29 01:36:00,2014-05-30 01:36:00,False,B4.4,0.0,2334.058105,4.438938e+21,22.434,0.0
HARP,4166,2014-05-29 03:12:00,2014-05-30 03:12:00,False,B4.4,0.0,2324.866943,4.413882e+21,22.373,0.0
HARP,4166,2014-05-29 04:48:00,2014-05-30 04:48:00,False,B4.4,0.0,2306.409668,4.376338e+21,22.678,2.733
HARP,4166,2014-05-29 06:24:00,2014-05-30 06:24:00,False,B4.4,0.0,2294.60791,4.4164e+21,23.161,2.308
HARP,4166,2014-05-29 08:00:00,2014-05-30 08:00:00,False,B4.4,0.0,2288.736328,4.536782e+21,24.265,2.255
HARP,4166,2014-05-29 09:36:00,2014-05-30 09:36:00,False,B4.4,0.0,2285.648193,4.470956e+21,24.079,2.803
HARP,4166,2014-05-29 11:12:00,2014-05-30 11:12:00,False,B4.4,0.0,2293.248291,4.508517e+21,24.178,2.185
HARP,4166,2014-05-29 12:48:00,2014-05-30 12:48:00,False,B4.4,0.0,2304.491699,4.531732e+21,24.379,2.897
HARP,4166,2014-05-29 14:24:00,2014-05-30 14:24:00,False,B4.4,0.0,2317.575928,4.57334e+21,24.571,2.255
HARP,4166,2014-05-29 16:00:00,2014-05-30 16:00:00,False,B4.4,0.0,2328.118164,4.614036e+21,24.8,2.06
HARP,4166,2014-05-29 17:36:00,2014-05-30 17:36:00,False,B4.4,0.0,2349.919189,4.570533e+21,24.411,2.506
HARP,4166,2014-05-29 19:12:00,2014-05-30 19:12:00,False,,0.4,2348.929443,4.509305e+21,23.93,2.014
HARP,4166,2014-05-29 20:48:00,2014-05-30 20:48:00,False,,0.4,2337.854248,4.356678e+21,23.02,0.0
HARP,4166,2014-05-29 22:24:00,2014-05-30 22:24:00,False,,0.4,2304.628906,4.193603e+21,22.625,2.463
HARP,4166,2014-05-30 00:00:00,2014-05-31 00:00:00,False,,0.4,2280.864746,4.094411e+21,21.733,0.0
HARP,4166,2014-05-30 01:36:00,2014-05-31 01:36:00,False,,0.4,2256.334717,4.033027e+21,21.723,1.51
HARP,4166,2014-05-30 03:12:00,2014-05-31 03:12:00,False,,0.4,2230.097168,4.041939e+21,22.016,2.41
HARP,4166,2014-05-30 04:48:00,2014-05-31 04:48:00,False,,0.4,2195.478027,4.005764e+21,22.589,0.0
HARP,4166,2014-05-30 06:24:00,2014-05-31 06:24:00,False,,0.4,2161.048584,3.93685e+21,22.66,2.691
HARP,4166,2014-05-30 08:00:00,2014-05-31 08:00:00,False,,0.4,2130.806152,3.886435e+21,22.633,0.0
HARP,4166,2014-05-30 09:36:00,2014-05-31 09:36:00,False,,0.4,2108.403809,3.849747e+21,23.005,2.41
HARP,4166,2014-05-30 11:12:00,2014-05-31 11:12:00,False,,0.4,2100.71167,3.811088e+21,22.757,2.326
HARP,4166,2014-05-30 12:48:00,2014-05-31 12:48:00,False,,0.4,2100.759033,3.789279e+21,22.903,0.0
HARP,4166,2014-05-30 14:24:00,2014-05-31 14:24:00,False,,0.4,2099.48291,3.738757e+21,23.004,0.0
HARP,4166,2014-05-30 16:00:00,2014-05-31 16:00:00,False,,0.4,2095.226318,3.751277e+21,23.017,0.0
HARP,4166,2014-05-30 17:36:00,2014-05-31 17:36:00,False,,0.4,2090.646484,3.731075e+21,23.347,0.0
HARP,4166,2014-05-30 19:12:00,2014-05-31 19:12:00,False,,0.0,2098.190918,3.679897e+21,22.706,0.0
HARP,4166,2014-05-30 20:48:00,2014-05-31 20:48:00,False,,0.0,2091.983154,3.609372e+21,22.341,0.0
HARP,4166,2014-05-30 22:24:00,2014-05-31 22:24:00,False,,0.0,2079.27124,3.499272e+21,21.652,0.0
HARP,4166,2014-05-31 00:00:00,2014-06-01 00:00:00,False,,0.0,2082.974609,3.414481e+21,21.396,0.0
HARP,4166,2014-05-31 01:36:00,2014-06-01 01:36:00,False,,0.0,2061.279053,3.35882e+21,21.588,0.0
HARP,4166,2014-05-31 03:12:00,2014-06-01 03:12:00,False,,0.0,2050.10791,3.316538e+21,21.317,0.0
HARP,4166,2014-05-31 04:48:00,2014-06-01 04:48:00,False,,0.0,2054.814697,3.293621e+21,21.317,2.207
HARP,4166,2014-05-31 06:24:00,2014-06-01 06:24:00,False,,0.0,2076.426514,3.28749e+21,21.259,0.0
HARP,4166,2014-05-31 08:00:00,2014-06-01 08:00:00,False,,0.0,2099.655273,3.311703e+21,20.92,2.049
HARP,4166,2014-05-31 09:36:00,2014-06-01 09:36:00,False,,0.0,2101.8125,3.328617e+21,21.017,0.0
HARP,4166,2014-05-31 11:12:00,2014-06-01 11:12:00,False,,0.0,2089.042236,3.339917e+21,20.85,0.0
HARP,4166,2014-05-31 12:48:00,2014-06-01 12:48:00,False,,0.0,2081.037842,3.249395e+21,20.694,2.658
HARP,4166,2014-05-31 14:24:00,2014-06-01 14:24:00,False,,0.0,2073.067139,3.208759e+21,20.306,0.0
HARP,4166,2014-05-31 16:00:00,2014-06-01 16:00:00,False,,0.0,2062.845947,3.19816e+21,19.741,0.0
HARP,4166,2014-05-31 17:36:00,2014-06-01 17:36:00,False,,0.0,2048.629883,3.110972e+21,19.358,1.543
HARP,4166,2014-05-31 19:12:00,2014-06-01 19:12:00,False,,0.0,2012.497681,3.038719e+21,19.147,0.0
HARP,4166,2014-05-31 20:48:00,2014-06-01 20:48:00,False,,0.0,1974.531372,2.966408e+21,18.729,0.0
HARP,4166,2014-05-31 22:24:00,2014-06-01 22:24:00,False,,0.0,1925.660278,2.91263e+21,18.67,2.091
HARP,4166,2014-06-01 00:00:00,2014-06-02 00:00:00,False,,0.0,1857.171143,2.793969e+21,18.241,0.0
HARP,4166,2014-06-01 01:36:00,2014-06-02 01:36:00,False,,0.0,1803.451538,2.697133e+21,17.97,0.0
HARP,4166,2014-06-01 03:12:00,2014-06-02 03:12:00,False,,0.0,1765.332764,2.64295e+21,17.685,0.0
HARP,4166,2014-06-01 04:48:00,2014-06-02 04:48:00,False,,0.0,1739.195557,2.588735e+21,17.606,0.0
HARP,4166,2014-06-01 06:24:00,2014-06-02 06:24:00,False,,0.0,1718.711914,2.574557e+21,17.476,0.0
HARP,4166,2014-06-01 08:00:00,2014-06-02 08:00:00,False,,0.0,1687.400879,2.529523e+21,17.251,0.0
HARP,4166,2014-06-01 09:36:00,2014-06-02 09:36:00,False,,0.0,1656.700806,2.451998e+21,16.947,0.0
HARP,4166,2014-06-01 11:12:00,2014-06-02 11:12:00,False,,0.0,1625.484863,2.380221e+21,16.775,0.0
HARP,4166,2014-06-01 12:48:00,2014-06-02 12:48:00,False,,0.0,1586.979858,2.346486e+21,16.785,0.0
HARP,4166,2014-06-01 14:24:00,2014-06-02 14:24:00,False,,0.0,1539.290894,2.334691e+21,16.987,2.82
HARP,4166,2014-06-01 16:00:00,2014-06-02 16:00:00,False,,0.0,1499.895264,2.293153e+21,17.405,0.0
HARP,4166,2014-06-01 17:36:00,2014-06-02 17:36:00,False,,0.0,1461.379395,2.275029e+21,17.275,0.0
HARP,4166,2014-06-01 19:12:00,2014-06-02 19:12:00,False,,0.0,1434.186279,2.187972e+21,16.901,0.0
HARP,4166,2014-06-01 20:48:00,2014-06-02 20:48:00,False,,0.0,1400.368042,2.100969e+21,16.546,0.0
HARP,4166,2014-06-01 22:24:00,2014-06-02 22:24:00,False,,0.0,1362.942261,1.99635e+21,16.194,0.0
HARP,4166,2014-06-02 00:00:00,2014-06-03 00:00:00,False,,0.0,1332.104248,1.919133e+21,15.92,0.0
HARP,4166,2014-06-02 01:36:00,2014-06-03 01:36:00,False,,0.0,1299.704102,1.886474e+21,15.846,2.743
HARP,4166,2014-06-02 03:12:00,2014-06-03 03:12:00,False,,0.0,1245.608276,1.835766e+21,15.796,2.664
HARP,4166,2014-06-02 04:48:00,2014-06-03 04:48:00,False,,0.0,1173.489258,1.77366e+21,15.98,0.0
HARP,4166,2014-06-02 06:24:00,2014-06-03 06:24:00,False,,0.0,1110.187256,1.706513e+21,15.874,2.825
HARP,4166,2014-06-02 08:00:00,2014-06-03 08:00:00,False,,0.0,1074.877686,1.633189e+21,15.451,2.817
HARP,4166,2014-06-02 09:36:00,2014-06-03 09:36:00,False,,0.0,1040.607056,1.588678e+21,15.137,2.498
HARP,4166,2014-06-02 11:12:00,2014-06-03 11:12:00,False,,0.0,986.091492,1.506686e+21,14.845,0.0
HARP,4166,2014-06-02 12:48:00,2014-06-03 12:48:00,False,,0.0,875.179993,1.420062e+21,15.95,2.8
HARP,4166,2014-06-02 14:24:00,2014-06-03 14:24:00,False,,0.0,787.91925,1.320217e+21,15.817,2.787
HARP,4166,2014-06-02 16:00:00,2014-06-03 16:00:00,False,,0.0,702.100159,1.198207e+21,15.776,2.784
HARP,4166,2014-06-02 17:36:00,2014-06-03 17:36:00,False,,0.0,604.685303,1.067785e+21,15.458,2.832
HARP,4166,2014-06-02 19:12:00,2014-06-03 19:12:00,False,,0.0,568.892151,9.860232e+20,15.26,2.441
HARP,4166,2014-06-02 20:48:00,2014-06-03 20:48:00,False,,0.0,516.368652,9.25611e+20,15.501,2.401
HARP,4166,2014-06-02 22:24:00,2014-06-03 22:24:00,False,,0.0,440.125671,7.989648e+20,15.59,0.0
HARP,4166,2014-06-03 00:00:00,2014-06-04 00:00:00,False,,0.0,393.632172,7.279709e+20,15.542,0.0
HARP,4166,2014-06-03 01:36:00,2014-06-04 01:36:00,False,,0.0,393.632172,7.279709e+20,15.542,0.0
HARP,7169,2017-10-22 11:12:00,2017-10-23 11:12:00,False,,0.0,1647.87561,3.254033e+21,16.874,2.934
HARP,7169,2017-10-22 12:48:00,2017-10-23 12:48:00,False,,0.0,1632.791138,3.281924e+21,17.474,3.651
HARP,7169,2017-10-22 14:24:00,2017-10-23 14:24:00,False,,0.0,1615.593506,3.250906e+21,17.593,3.22
HARP,7169,2017-10-22 16:00:00,2017-10-23 16:00:00,False,,0.0,1597.678345,3.318179e+21,18.088,3.603
HARP,7169,2017-10-22 17:36:00,2017-10-23 17:36:00,False,,0.0,1677.050903,3.572954e+21,18.162,2.768
HARP,7169,2017-10-22 19:12:00,2017-10-23 19:12:00,False,,0.0,1763.171875,3.815174e+21,18.834,3.493
HARP,7169,2017-10-22 20:48:00,2017-10-23 20:48:00,False,,0.0,1865.471069,3.981924e+21,18.891,3.139
HARP,7169,2017-10-22 22:24:00,2017-10-23 22:24:00,False,,0.0,1968.627563,4.193736e+21,19.606,3.279
HARP,7169,2017-10-23 00:00:00,2017-10-24 00:00:00,False,,0.0,2054.97998,4.300707e+21,19.61,3.409
HARP,7169,2017-10-23 01:36:00,2017-10-24 01:36:00,False,,0.0,2147.588623,4.406275e+21,19.313,3.07
HARP,7169,2017-10-23 03:12:00,2017-10-24 03:12:00,False,,0.0,2170.838379,4.429247e+21,19.916,2.759
HARP,7169,2017-10-23 04:48:00,2017-10-24 04:48:00,False,,0.0,2210.105957,4.46311e+21,19.844,3.131
HARP,7169,2017-10-23 06:24:00,2017-10-24 06:24:00,False,,0.0,2250.815674,4.474698e+21,20.228,2.391
HARP,7169,2017-10-23 08:00:00,2017-10-24 08:00:00,False,,0.0,2316.139648,4.520865e+21,20.032,3.073
HARP,7169,2017-10-23 09:36:00,2017-10-24 09:36:00,False,,0.0,2409.238281,4.585005e+21,19.989,2.492
HARP,7169,2017-10-23 11:12:00,2017-10-24 11:12:00,False,,0.0,2496.737549,4.747911e+21,20.52,2.42
HARP,7169,2017-10-23 12:48:00,2017-10-24 12:48:00,False,,0.0,2655.257812,4.890963e+21,20.645,2.976
HARP,7169,2017-10-23 14:24:00,2017-10-24 14:24:00,False,,0.0,2871.449463,5.139888e+21,20.095,2.573
HARP,7169,2017-10-23 16:00:00,2017-10-24 16:00:00,False,,0.0,3055.481689,5.353697e+21,19.955,0.0
HARP,7169,2017-10-23 17:36:00,2017-10-24 17:36:00,False,,0.0,3164.169678,5.506049e+21,20.305,3.176
HARP,7169,2017-10-23 19:12:00,2017-10-24 19:12:00,False,,0.0,3164.169678,5.506049e+21,20.305,3.176
HARP,7169,2017-10-23 20:48:00,2017-10-24 20:48:00,False,,0.0,3225.395508,5.467553e+21,19.974,0.0
HARP,7169,2017-10-23 22:24:00,2017-10-24 22:24:00,False,,0.0,3207.104004,5.482805e+21,20.207,2.064
HARP,7169,2017-10-24 00:00:00,2017-10-25 00:00:00,False,,0.0,3189.588867,5.540125e+21,20.802,2.25
HARP,7169,2017-10-24 01:36:00,2017-10-25 01:36:00,False,,0.0,3233.389648,5.558215e+21,20.831,2.566
HARP,7169,2017-10-24 03:12:00,2017-10-25 03:12:00,False,,0.0,3362.451172,5.674739e+21,20.699,1.959
HARP,7169,2017-10-24 04:48:00,2017-10-25 04:48:00,False,,0.0,3451.907471,5.742038e+21,20.571,0.0
HARP,7169,2017-10-24 06:24:00,2017-10-25 06:24:00,False,,0.0,3501.948486,5.820912e+21,20.666,0.0
HARP,7169,2017-10-24 08:00:00,2017-10-25 08:00:00,False,,0.0,3524.333496,5.794316e+21,20.703,0.0
HARP,7169,2017-10-24 09:36:00,2017-10-25 09:36:00,False,,0.0,3580.687012,5.795695e+21,20.342,2.2
HARP,7169,2017-10-24 11:12:00,2017-10-25 11:12:00,False,,0.0,3646.129395,5.864694e+21,20.21,0.0
HARP,7169,2017-10-24 12:48:00,2017-10-25 12:48:00,False,,0.0,3677.3396,5.94484e+21,20.055,0.0
HARP,7169,2017-10-24 14:24:00,2017-10-25 14:24:00,False,,0.0,3719.585693,6.002232e+21,20.336,0.0
HARP,7169,2017-10-24 16:00:00,2017-10-25 16:00:00,False,,0.0,3780.852295,6.014131e+21,20.242,0.0
HARP,7169,2017-10-24 17:36:00,2017-10-25 17:36:00,False,,0.0,3808.918945,6.019894e+21,20.092,0.0
HARP,7169,2017-10-24 20:48:00,2017-10-25 20:48:00,False,,0.0,3852.199707,6.072152e+21,20.258,2.276
HARP,7169,2017-10-24 22:24:00,2017-10-25 22:24:00,False,,0.0,3880.204102,6.055811e+21,19.878,2.617
HARP,7169,2017-10-25 00:00:00,2017-10-26 00:00:00,False,,0.0,3880.067627,5.988229e+21,19.615,0.0
HARP,7169,2017-10-25 01:36:00,2017-10-26 01:36:00,False,,0.0,3862.517334,5.981155e+21,19.847,0.0
HARP,7169,2017-10-25 03:12:00,2017-10-26 03:12:00,False,,0.0,3821.810547,5.999442e+21,20.404,2.385
HARP,7169,2017-10-25 04:48:00,2017-10-26 04:48:00,False,,0.0,3761.064209,5.974085e+21,20.943,0.0
HARP,7169,2017-10-25 06:24:00,2017-10-26 06:24:00,False,,0.0,3727.541016,5.975388e+21,21.49,2.714
HARP,7169,2017-10-25 08:00:00,2017-10-26 08:00:00,False,,0.0,3735.178467,5.99058e+21,21.834,0.0
HARP,7169,2017-10-25 09:36:00,2017-10-26 09:36:00,False,,0.0,3728.476074,5.942786e+21,21.772,0.0
HARP,7169,2017-10-25 11:12:00,2017-10-26 11:12:00,False,,0.0,3738.030762,5.981365e+21,21.717,1.778
HARP,7169,2017-10-25 12:48:00,2017-10-26 12:48:00,False,,0.0,3797.362061,6.084793e+21,21.855,0.0
HARP,7169,2017-10-25 14:24:00,2017-10-26 14:24:00,False,,0.0,3877.816895,6.207646e+21,21.89,0.0
HARP,7169,2017-10-25 16:00:00,2017-10-26 16:00:00,False,,0.0,3905.863281,6.271792e+21,22.074,2.198
HARP,7169,2017-10-25 17:36:00,2017-10-26 17:36:00,False,,0.0,3945.113037,6.294776e+21,21.995,2.582
HARP,7169,2017-10-25 20:48:00,2017-10-26 20:48:00,False,,0.0,4138.626953,6.435836e+21,21.231,0.0
HARP,7169,2017-10-25 22:24:00,2017-10-26 22:24:00,False,,0.0,4164.076172,6.438065e+21,21.407,0.0
HARP,7169,2017-10-26 00:00:00,2017-10-27 00:00:00,False,,0.0,4174.36377,6.425362e+21,21.474,0.0
HARP,7169,2017-10-26 01:36:00,2017-10-27 01:36:00,False,,0.0,4177.496094,6.408265e+21,21.324,2.296
HARP,7169,2017-10-26 03:12:00,2017-10-27 03:12:00,False,,0.0,4149.182129,6.427179e+21,21.57,2.197
HARP,7169,2017-10-26 04:48:00,2017-10-27 04:48:00,False,,0.0,4121.397949,6.420707e+21,21.71,2.573
HARP,7169,2017-10-26 06:24:00,2017-10-27 06:24:00,False,,0.0,4117.915527,6.362003e+21,21.868,0.0
HARP,7169,2017-10-26 08:00:00,2017-10-27 08:00:00,False,,0.0,4107.888184,6.263528e+21,21.682,3.221
HARP,7169,2017-10-26 09:36:00,2017-10-27 09:36:00,False,,0.0,4078.379639,6.22214e+21,21.893,1.559
HARP,7169,2017-10-26 11:12:00,2017-10-27 11:12:00,False,,0.0,4013.156494,6.230563e+21,22.1,2.405
HARP,7169,2017-10-26 12:48:00,2017-10-27 12:48:00,False,,0.0,4070.219971,6.281708e+21,22.09,2.393
HARP,7169,2017-10-26 14:24:00,2017-10-27 14:24:00,False,,0.0,4063.23291,6.27295e+21,22.199,0.0
HARP,7169,2017-10-26 16:00:00,2017-10-27 16:00:00,False,,0.0,4105.362305,6.370987e+21,22.802,2.131
HARP,7169,2017-10-26 17:36:00,2017-10-27 17:36:00,False,,0.0,4118.689941,6.352804e+21,22.713,2.348
HARP,7169,2017-10-26 19:12:00,2017-10-27 19:12:00,False,,0.0,4180.479492,6.435375e+21,22.41,2.476
HARP,7169,2017-10-26 20:48:00,2017-10-27 20:48:00,False,,0.0,4212.312012,6.400713e+21,22.144,2.785
HARP,7169,2017-10-26 22:24:00,2017-10-27 22:24:00,False,,0.0,4179.625488,6.309465e+21,21.736,2.826
HARP,7169,2017-10-27 00:00:00,2017-10-28 00:00:00,False,,0.0,4080.261719,6.196072e+21,21.658,2.648
HARP,7169,2017-10-27 01:36:00,2017-10-28 01:36:00,False,,0.0,4074.042236,6.167582e+21,21.58,0.0
HARP,7169,2017-10-27 03:12:00,2017-10-28 03:12:00,False,,0.0,4102.94043,6.236953e+21,21.449,2.194
HARP,7169,2017-10-27 04:48:00,2017-10-28 04:48:00,False,,0.0,4091.321045,6.266332e+21,21.822,0.0
HARP,7169,2017-10-27 06:24:00,2017-10-28 06:24:00,False,,0.0,4078.134033,6.270999e+21,22.011,0.0
HARP,7169,2017-10-27 08:00:00,2017-10-28 08:00:00,False,,0.0,4033.059326,6.240202e+21,21.963,0.0
HARP,7169,2017-10-27 09:36:00,2017-10-28 09:36:00,False,,0.0,4019.275879,6.199668e+21,22.068,0.0
HARP,7169,2017-10-27 11:12:00,2017-10-28 11:12:00,False,,0.0,4143.064941,6.238066e+21,21.765,1.795
HARP,7169,2017-10-27 12:48:00,2017-10-28 12:48:00,False,,0.0,4158.668457,6.176126e+21,21.645,2.446
HARP,7169,2017-10-27 14:24:00,2017-10-28 14:24:00,False,,0.0,4178.504883,6.140878e+21,21.317,1.722
HARP,7169,2017-10-27 16:00:00,2017-10-28 16:00:00,False,,0.0,4227.806641,6.133909e+21,21.087,0.0
HARP,7169,2017-10-27 17:36:00,2017-10-28 17:36:00,False,,0.0,4228.362793,6.132807e+21,21.073,0.0
HARP,7169,2017-10-27 19:12:00,2017-10-28 19:12:00,False,,0.0,4232.500488,6.072497e+21,20.547,1.696
HARP,7169,2017-10-27 20:48:00,2017-10-28 20:48:00,False,,0.0,4200.773926,5.968494e+21,20.404,2.12
HARP,7169,2017-10-27 22:24:00,2017-10-28 22:24:00,False,,0.0,4170.011719,5.783758e+21,19.856,2.121
HARP,7169,2017-10-28 00:00:00,2017-10-29 00:00:00,False,,0.0,4125.473145,5.668026e+21,19.517,2.313
HARP,7169,2017-10-28 01:36:00,2017-10-29 01:36:00,False,,0.0,4072.218018,5.566168e+21,19.464,2.232
HARP,7169,2017-10-28 03:12:00,2017-10-29 03:12:00,False,,0.0,3992.688721,5.456672e+21,19.498,2.804
HARP,7169,2017-10-28 04:48:00,2017-10-29 04:48:00,False,,0.0,3880.816406,5.29431e+21,19.333,1.879
HARP,7169,2017-10-28 06:24:00,2017-10-29 06:24:00,False,,0.0,3743.509033,5.152759e+21,19.483,0.0
HARP,7169,2017-10-28 08:00:00,2017-10-29 08:00:00,False,,0.0,3646.804688,5.034465e+21,19.611,1.56
HARP,7169,2017-10-28 09:36:00,2017-10-29 09:36:00,False,,0.0,3611.586182,5.012099e+21,19.769,2.31
HARP,7169,2017-10-28 11:12:00,2017-10-29 11:12:00,False,,0.0,3569.497314,4.902844e+21,19.591,0.0
